"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2004","17","17000","Illinois","12,528,129","1,486,115","1,395,834","1,576,396","1,395,834 to 1,576,396","11.9","11.1","12.6","11.1 to 12.6","3,232,895","539,394","488,300","590,487","488,300 to 590,487","16.7","15.1","18.3","15.1 to 18.3","2,322,622","369,244","321,539","416,949","321,539 to 416,949","15.9","13.8","18.0","13.8 to 18.0","887,310","157,174","135,866","178,482","135,866 to 178,482","17.7","15.3","20.1","15.3 to 20.1","$47,711","$46,301","$49,121","$46,301 to $49,121"
"2003","17","17000","Illinois","12,477,639","1,426,978","1,346,150","1,507,806","1,346,150 to 1,507,806","11.4","10.8","12.1","10.8 to 12.1","3,235,729","505,048","465,636","544,459","465,636 to 544,459","15.6","14.4","16.8","14.4 to 16.8","2,324,659","333,173","301,417","364,929","301,417 to 364,929","14.3","13.0","15.7","13.0 to 15.7","880,251","154,707","131,219","178,196","131,219 to 178,196","17.6","14.9","20.2","14.9 to 20.2","$47,367","$45,872","$48,863","$45,872 to $48,863"
"2002","17","17000","Illinois","12,443,493","1,411,869","1,325,875","1,497,863","1,325,875 to 1,497,863","11.3","10.7","12.0","10.7 to 12.0","3,234,154","494,208","452,290","536,127","452,290 to 536,127","15.3","14.0","16.6","14.0 to 16.6","2,300,325","317,920","285,812","350,028","285,812 to 350,028","13.8","12.4","15.2","12.4 to 15.2","887,347","161,558","134,807","188,310","134,807 to 188,310","18.2","15.2","21.2","15.2 to 21.2","$44,946","$43,228","$46,664","$43,228 to $46,664"
"2001","17","17000","Illinois","12,324,141","1,247,836","1,183,039","1,312,632","1,183,039 to 1,312,632","10.1","9.6","10.7","9.6 to 10.7","3,208,994","469,832","424,692","514,973","424,692 to 514,973","14.6","13.2","16.0","13.2 to 16.0","2,305,114","314,263","273,563","354,963","273,563 to 354,963","13.6","11.9","15.4","11.9 to 15.4","872,666","137,174","120,174","154,174","120,174 to 154,174","15.7","13.8","17.7","13.8 to 17.7","$46,991","$45,668","$48,314","$45,668 to $48,314"
"2000","17","17000","Illinois","12,243,210","1,227,886","1,162,967","1,292,805","1,162,967 to 1,292,805","10.0","9.5","10.6","9.5 to 10.6","3,203,066","466,500","428,675","504,326","428,675 to 504,326","14.6","13.4","15.7","13.4 to 15.7","2,294,341","302,163","269,619","334,707","269,619 to 334,707","13.2","11.8","14.6","11.8 to 14.6","865,197","147,441","127,548","167,334","127,548 to 167,334","17.0","14.7","19.3","14.7 to 19.3","$46,327","$44,768","$47,886","$44,768 to $47,886"
"2012","18","18000","Indiana","6,342,403","984,948","969,517","1,000,379","969,517 to 1,000,379","15.5","15.3","15.7","15.3 to 15.7","1,564,255","345,235","335,861","354,609","335,861 to 354,609","22.1","21.5","22.7","21.5 to 22.7","1,139,828","228,022","220,554","235,490","220,554 to 235,490","20.0","19.3","20.7","19.3 to 20.7","416,596","110,112","104,930","115,294","104,930 to 115,294","26.4","25.2","27.6","25.2 to 27.6","$46,954","$46,540","$47,368","$46,540 to $47,368"
"2011","18","18000","Indiana","6,318,952","1,001,053","983,059","1,019,047","983,059 to 1,019,047","15.8","15.5","16.1","15.5 to 16.1","1,565,769","353,510","341,921","365,099","341,921 to 365,099","22.6","21.9","23.3","21.9 to 23.3","1,135,183","233,507","223,596","243,418","223,596 to 243,418","20.6","19.7","21.5","19.7 to 21.5","419,711","111,020","105,328","116,712","105,328 to 116,712","26.5","25.1","27.9","25.1 to 27.9","$46,410","$45,964","$46,856","$45,964 to $46,856"
"2010","18","18000","Indiana","6,294,427","960,402","942,495","978,309","942,495 to 978,309","15.3","15.0","15.6","15.0 to 15.6","1,576,164","340,700","330,138","351,262","330,138 to 351,262","21.6","20.9","22.3","20.9 to 22.3","1,143,084","224,269","214,987","233,551","214,987 to 233,551","19.6","18.8","20.4","18.8 to 20.4","424,068","107,909","102,827","112,991","102,827 to 112,991","25.4","24.2","26.6","24.2 to 26.6","$44,616","$44,178","$45,054","$44,178 to $45,054"
"2009","18","18000","Indiana","6,228,213","895,619","878,284","912,953","878,284 to 912,953","14.4","14.1","14.7","14.1 to 14.7","1,560,301","310,140","299,765","320,514","299,765 to 320,514","19.9","19.2","20.5","19.2 to 20.5","1,116,468","196,437","187,875","204,999","187,875 to 204,999","17.6","16.8","18.4","16.8 to 18.4","436,905","107,473","101,977","112,970","101,977 to 112,970","24.6","23.3","25.9","23.3 to 25.9","$45,427","$44,983","$45,870","$44,983 to $45,870"
"2008","18","18000","Indiana","6,175,905","799,567","783,820","815,314","783,820 to 815,314","12.9","12.7","13.2","12.7 to 13.2","1,549,507","277,503","267,487","287,520","267,487 to 287,520","17.9","17.3","18.6","17.3 to 18.6","1,111,855","176,397","167,904","184,890","167,904 to 184,890","15.9","15.1","16.6","15.1 to 16.6","430,010","94,186","89,069","99,303","89,069 to 99,303","21.9","20.7","23.1","20.7 to 23.1","$48,010","$47,481","$48,540","$47,481 to $48,540"
"2007","18","18000","Indiana","6,145,054","755,245","740,873","769,617","740,873 to 769,617","12.3","12.1","12.5","12.1 to 12.5","1,549,769","265,192","256,302","274,081","256,302 to 274,081","17.1","16.5","17.7","16.5 to 17.7","1,111,954","166,365","158,735","173,995","158,735 to 173,995","15.0","14.3","15.6","14.3 to 15.6","427,607","89,290","84,777","93,803","84,777 to 93,803","20.9","19.8","21.9","19.8 to 21.9","$47,422","$47,052","$47,793","$47,052 to $47,793"
"2006","18","18000","Indiana","6,125,594","768,642","752,872","784,412","752,872 to 784,412","12.5","12.3","12.8","12.3 to 12.8","1,546,475","268,729","258,879","278,579","258,879 to 278,579","17.4","16.7","18.0","16.7 to 18.0","1,113,030","169,960","161,204","178,716","161,204 to 178,716","15.3","14.5","16.1","14.5 to 16.1","423,165","89,319","84,762","93,877","84,762 to 93,877","21.1","20.0","22.2","20.0 to 22.2","$45,414","$45,005","$45,822","$45,005 to $45,822"
"2005","18","18000","Indiana","6,059,456","736,632","720,269","752,995","720,269 to 752,995","12.2","11.9","12.4","11.9 to 12.4","1,561,841","258,976","249,110","268,841","249,110 to 268,841","16.6","15.9","17.2","15.9 to 17.2","1,133,245","166,214","157,600","174,828","157,600 to 174,828","14.7","13.9","15.4","13.9 to 15.4","420,117","84,394","79,840","88,948","79,840 to 88,948","20.1","19.0","21.2","19.0 to 21.2","$44,051","$43,569","$44,532","$43,569 to $44,532"
"2004","18","18000","Indiana","6,151,698","683,371","632,133","734,609","632,133 to 734,609","11.1","10.3","11.9","10.3 to 11.9","1,595,746","250,998","224,853","277,143","224,853 to 277,143","15.7","14.1","17.4","14.1 to 17.4","1,141,287","155,506","132,326","178,686","132,326 to 178,686","13.6","11.6","15.7","11.6 to 15.7","427,456","84,784","72,772","96,795","72,772 to 96,795","19.8","17.0","22.6","17.0 to 22.6","$43,217","$41,838","$44,595","$41,838 to $44,595"
"2003","18","18000","Indiana","6,111,108","609,645","570,409","648,882","570,409 to 648,882","10.0","9.3","10.6","9.3 to 10.6","1,590,091","217,420","197,186","237,654","197,186 to 237,654","13.7","12.4","14.9","12.4 to 14.9","1,138,790","129,878","114,590","145,166","114,590 to 145,166","11.4","10.1","12.7","10.1 to 12.7","424,295","76,413","63,650","89,175","63,650 to 89,175","18.0","15.0","21.0","15.0 to 21.0","$43,323","$41,972","$44,675","$41,972 to $44,675"
"2002","18","18000","Indiana","6,081,423","585,247","544,946","625,549","544,946 to 625,549","9.6","9.0","10.3","9.0 to 10.3","1,594,851","189,829","168,600","211,058","168,600 to 211,058","11.9","10.6","13.2","10.6 to 13.2","1,145,852","120,125","102,332","137,918","102,332 to 137,918","10.5","8.9","12.0","8.9 to 12.0","425,472","61,481","49,885","73,077","49,885 to 73,077","14.5","11.7","17.2","11.7 to 17.2","$41,973","$40,338","$43,608","$40,338 to $43,608"
"2001","18","18000","Indiana","6,028,841","543,742","507,187","580,298","507,187 to 580,298","9.0","8.4","9.6","8.4 to 9.6","1,586,018","192,843","167,869","217,816","167,869 to 217,816","12.2","10.6","13.7","10.6 to 13.7","1,129,487","115,806","93,854","137,758","93,854 to 137,758","10.3","8.3","12.2","8.3 to 12.2","425,839","65,559","56,372","74,745","56,372 to 74,745","15.4","13.2","17.6","13.2 to 17.6","$42,073","$40,645","$43,501","$40,645 to $43,501"
"2000","18","18000","Indiana","5,997,637","529,323","493,499","565,147","493,499 to 565,147","8.8","8.2","9.4","8.2 to 9.4","1,571,256","190,403","170,529","210,277","170,529 to 210,277","12.1","10.9","13.4","10.9 to 13.4","1,124,237","112,712","95,986","129,438","95,986 to 129,438","10.0","8.5","11.5","8.5 to 11.5","421,892","67,126","56,702","77,550","56,702 to 77,550","15.9","13.4","18.4","13.4 to 18.4","$41,511","$39,795","$43,227","$39,795 to $43,227"
"2012","19","19000","Iowa","2,974,222","377,110","367,628","386,592","367,628 to 386,592","12.7","12.4","13.0","12.4 to 13.0","710,390","114,105","108,686","119,524","108,686 to 119,524","16.1","15.3","16.9","15.3 to 16.9","514,519","73,339","68,587","78,091","68,587 to 78,091","14.3","13.4","15.2","13.4 to 15.2","193,065","37,956","35,450","40,462","35,450 to 40,462","19.7","18.4","21.0","18.4 to 21.0","$50,997","$50,573","$51,421","$50,573 to $51,421"
"2011","19","19000","Iowa","2,963,596","376,300","367,232","385,368","367,232 to 385,368","12.7","12.4","13.0","12.4 to 13.0","710,854","121,250","115,876","126,624","115,876 to 126,624","17.1","16.3","17.9","16.3 to 17.9","512,079","78,963","74,168","83,758","74,168 to 83,758","15.4","14.5","16.3","14.5 to 16.3","195,692","39,198","36,602","41,794","36,602 to 41,794","20.0","18.7","21.3","18.7 to 21.3","$49,545","$48,882","$50,208","$48,882 to $50,208"
"2010","19","19000","Iowa","2,950,202","368,965","358,787","379,143","358,787 to 379,143","12.5","12.2","12.8","12.2 to 12.8","712,652","115,731","110,103","121,359","110,103 to 121,359","16.2","15.4","17.0","15.4 to 17.0","511,131","72,763","67,783","77,743","67,783 to 77,743","14.2","13.2","15.2","13.2 to 15.2","197,934","39,502","36,745","42,259","36,745 to 42,259","20.0","18.6","21.4","18.6 to 21.4","$48,031","$47,421","$48,641","$47,421 to $48,641"
"2009","19","19000","Iowa","2,905,377","342,309","333,186","351,431","333,186 to 351,431","11.8","11.5","12.1","11.5 to 12.1","701,002","109,384","104,021","114,747","104,021 to 114,747","15.6","14.8","16.4","14.8 to 16.4","495,294","64,558","60,055","69,061","60,055 to 69,061","13.0","12.1","13.9","12.1 to 13.9","200,099","40,160","37,259","43,061","37,259 to 43,061","20.1","18.6","21.5","18.6 to 21.5","$48,065","$47,648","$48,482","$47,648 to $48,482"
"2008","19","19000","Iowa","2,899,767","331,057","322,082","340,033","322,082 to 340,033","11.4","11.1","11.7","11.1 to 11.7","700,634","99,569","94,498","104,640","94,498 to 104,640","14.2","13.5","14.9","13.5 to 14.9","498,284","59,823","55,513","64,133","55,513 to 64,133","12.0","11.1","12.9","11.1 to 12.9","197,143","35,072","32,439","37,704","32,439 to 37,704","17.8","16.5","19.1","16.5 to 19.1","$49,007","$48,380","$49,634","$48,380 to $49,634"
"2007","19","19000","Iowa","2,881,771","316,303","307,371","325,234","307,371 to 325,234","11.0","10.7","11.3","10.7 to 11.3","695,509","95,200","90,288","100,111","90,288 to 100,111","13.7","13.0","14.4","13.0 to 14.4","500,413","58,426","54,149","62,703","54,149 to 62,703","11.7","10.8","12.5","10.8 to 12.5","190,977","32,798","30,381","35,214","30,381 to 35,214","17.2","15.9","18.4","15.9 to 18.4","$47,324","$46,771","$47,877","$46,771 to $47,877"
"2006","19","19000","Iowa","2,878,433","315,973","308,007","323,939","308,007 to 323,939","11.0","10.7","11.3","10.7 to 11.3","696,074","96,323","91,986","100,659","91,986 to 100,659","13.8","13.2","14.5","13.2 to 14.5","502,995","59,918","56,081","63,755","56,081 to 63,755","11.9","11.1","12.7","11.1 to 12.7","188,416","31,958","29,927","33,989","29,927 to 33,989","17.0","15.9","18.0","15.9 to 18.0","$44,560","$44,059","$45,061","$44,059 to $45,061"
"2005","19","19000","Iowa","2,853,598","308,713","300,673","316,753","300,673 to 316,753","10.8","10.5","11.1","10.5 to 11.1","657,621","91,700","87,023","96,376","87,023 to 96,376","13.9","13.2","14.7","13.2 to 14.7","476,685","57,449","53,412","61,486","53,412 to 61,486","12.1","11.2","12.9","11.2 to 12.9","177,651","30,954","28,789","33,120","28,789 to 33,120","17.4","16.2","18.6","16.2 to 18.6","$43,610","$43,114","$44,107","$43,114 to $44,107"
"2004","19","19000","Iowa","2,905,637","304,598","280,304","328,892","280,304 to 328,892","10.5","9.6","11.3","9.6 to 11.3","668,632","87,899","77,890","97,909","77,890 to 97,909","13.1","11.6","14.6","11.6 to 14.6","482,261","53,683","44,868","62,498","44,868 to 62,498","11.1","9.3","13.0","9.3 to 13.0","179,370","29,236","24,684","33,787","24,684 to 33,787","16.3","13.8","18.8","13.8 to 18.8","$42,865","$41,330","$44,400","$41,330 to $44,400"
"2003","19","19000","Iowa","2,892,343","263,817","244,880","282,753","244,880 to 282,753","9.1","8.5","9.8","8.5 to 9.8","678,387","83,151","74,721","91,581","74,721 to 91,581","12.3","11.0","13.5","11.0 to 13.5","491,964","49,808","43,396","56,220","43,396 to 56,220","10.1","8.8","11.4","8.8 to 11.4","178,350","28,662","23,356","33,969","23,356 to 33,969","16.1","13.1","19.0","13.1 to 19.0","$42,278","$40,822","$43,733","$40,822 to $43,733"
"2002","19","19000","Iowa","2,886,448","262,013","243,122","280,903","243,122 to 280,903","9.1","8.4","9.7","8.4 to 9.7","691,508","75,288","66,465","84,111","66,465 to 84,111","10.9","9.6","12.2","9.6 to 12.2","500,894","47,585","40,150","55,020","40,150 to 55,020","9.5","8.0","11.0","8.0 to 11.0","181,172","23,852","19,094","28,611","19,094 to 28,611","13.2","10.5","15.8","10.5 to 15.8","$41,052","$39,341","$42,764","$39,341 to $42,764"
"2001","19","19000","Iowa","2,868,973","236,115","219,304","252,927","219,304 to 252,927","8.2","7.6","8.8","7.6 to 8.8","697,555","68,259","56,752","79,765","56,752 to 79,765","9.8","8.1","11.4","8.1 to 11.4","512,866","41,088","31,057","51,119","31,057 to 51,119","8.0","6.1","10.0","6.1 to 10.0","180,681","23,232","19,302","27,163","19,302 to 27,163","12.9","10.7","15.0","10.7 to 15.0","$41,216","$39,770","$42,661","$39,770 to $42,661"
"2000","19","19000","Iowa","2,864,222","237,684","221,074","254,294","221,074 to 254,294","8.3","7.7","8.9","7.7 to 8.9","703,991","75,952","67,314","84,590","67,314 to 84,590","10.8","9.6","12.0","9.6 to 12.0","516,425","45,872","38,460","53,284","38,460 to 53,284","8.9","7.4","10.3","7.4 to 10.3","181,497","25,628","21,154","30,103","21,154 to 30,103","14.1","11.7","16.6","11.7 to 16.6","$40,443","$38,655","$42,232","$38,655 to $42,232"
"2012","20","20000","Kansas","2,802,171","392,095","383,225","400,965","383,225 to 400,965","14.0","13.7","14.3","13.7 to 14.3","711,813","135,261","130,015","140,507","130,015 to 140,507","19.0","18.3","19.7","18.3 to 19.7","508,674","87,594","82,882","92,306","82,882 to 92,306","17.2","16.3","18.1","16.3 to 18.1","199,388","44,479","42,128","46,830","42,128 to 46,830","22.3","21.1","23.5","21.1 to 23.5","$50,140","$49,632","$50,648","$49,632 to $50,648"
"2011","20","20000","Kansas","2,786,839","383,859","373,991","393,727","373,991 to 393,727","13.8","13.4","14.2","13.4 to 14.2","710,722","133,478","128,023","138,933","128,023 to 138,933","18.8","18.0","19.6","18.0 to 19.6","507,925","82,311","77,941","86,681","77,941 to 86,681","16.2","15.3","17.1","15.3 to 17.1","199,241","47,727","44,420","51,034","44,420 to 51,034","24.0","22.3","25.7","22.3 to 25.7","$48,844","$48,127","$49,561","$48,127 to $49,561"
"2010","20","20000","Kansas","2,775,358","374,677","364,111","385,243","364,111 to 385,243","13.5","13.1","13.9","13.1 to 13.9","714,397","129,009","122,672","135,346","122,672 to 135,346","18.1","17.2","19.0","17.2 to 19.0","508,829","81,077","75,631","86,523","75,631 to 86,523","15.9","14.8","17.0","14.8 to 17.0","201,917","44,653","41,582","47,724","41,582 to 47,724","22.1","20.6","23.6","20.6 to 23.6","$47,888","$47,096","$48,680","$47,096 to $48,680"
"2009","20","20000","Kansas","2,732,646","359,692","349,833","369,551","349,833 to 369,551","13.2","12.8","13.5","12.8 to 13.5","691,551","118,187","112,221","124,153","112,221 to 124,153","17.1","16.2","18.0","16.2 to 18.0","487,475","71,850","66,966","76,734","66,966 to 76,734","14.7","13.7","15.7","13.7 to 15.7","200,586","43,084","39,854","46,314","39,854 to 46,314","21.5","19.9","23.1","19.9 to 23.1","$47,709","$47,074","$48,343","$47,074 to $48,343"
"2008","20","20000","Kansas","2,716,645","307,804","298,971","316,637","298,971 to 316,637","11.3","11.0","11.7","11.0 to 11.7","687,997","100,146","95,023","105,269","95,023 to 105,269","14.6","13.8","15.3","13.8 to 15.3","486,254","59,842","55,420","64,264","55,420 to 64,264","12.3","11.4","13.2","11.4 to 13.2","197,609","36,417","33,847","38,986","33,847 to 38,986","18.4","17.1","19.7","17.1 to 19.7","$50,174","$49,702","$50,646","$49,702 to $50,646"
"2007","20","20000","Kansas","2,688,964","301,826","293,408","310,244","293,408 to 310,244","11.2","10.9","11.5","10.9 to 11.5","682,056","100,242","95,557","104,928","95,557 to 104,928","14.7","14.0","15.4","14.0 to 15.4","483,941","61,149","57,092","65,206","57,092 to 65,206","12.6","11.8","13.5","11.8 to 13.5","192,761","34,510","32,157","36,863","32,157 to 36,863","17.9","16.7","19.1","16.7 to 19.1","$47,341","$46,733","$47,949","$46,733 to $47,949"
"2006","20","20000","Kansas","2,679,947","327,103","319,106","335,100","319,106 to 335,100","12.2","11.9","12.5","11.9 to 12.5","685,037","105,191","100,418","109,965","100,418 to 109,965","15.4","14.7","16.1","14.7 to 16.1","489,323","64,427","60,249","68,605","60,249 to 68,605","13.2","12.3","14.0","12.3 to 14.0","191,289","36,901","34,689","39,114","34,689 to 39,114","19.3","18.1","20.4","18.1 to 20.4","$45,369","$44,881","$45,856","$44,881 to $45,856"
"2005","20","20000","Kansas","2,651,105","310,666","302,026","319,305","302,026 to 319,305","11.7","11.4","12.0","11.4 to 12.0","660,150","100,253","95,207","105,298","95,207 to 105,298","15.2","14.4","16.0","14.4 to 16.0","472,167","60,203","56,130","64,276","56,130 to 64,276","12.8","11.9","13.6","11.9 to 13.6","183,894","36,789","33,937","39,641","33,937 to 39,641","20.0","18.5","21.6","18.5 to 21.6","$42,861","$42,188","$43,534","$42,188 to $43,534"
"2004","20","20000","Kansas","2,684,155","297,733","275,110","320,357","275,110 to 320,357","11.1","10.2","11.9","10.2 to 11.9","673,695","98,641","88,073","109,208","88,073 to 109,208","14.6","13.1","16.2","13.1 to 16.2","476,666","59,392","50,141","68,643","50,141 to 68,643","12.5","10.5","14.4","10.5 to 14.4","187,083","35,005","30,008","40,003","30,008 to 40,003","18.7","16.0","21.4","16.0 to 21.4","$41,664","$40,198","$43,130","$40,198 to $43,130"
"2003","20","20000","Kansas","2,671,994","278,163","260,826","295,499","260,826 to 295,499","10.4","9.8","11.1","9.8 to 11.1","681,328","93,896","85,083","102,709","85,083 to 102,709","13.8","12.5","15.1","12.5 to 15.1","488,407","55,419","48,813","62,025","48,813 to 62,025","11.3","10.0","12.7","10.0 to 12.7","185,383","33,991","28,393","39,589","28,393 to 39,589","18.3","15.3","21.4","15.3 to 21.4","$43,113","$41,682","$44,544","$41,682 to $44,544"
"2002","20","20000","Kansas","2,665,684","265,673","248,358","282,988","248,358 to 282,988","10.0","9.3","10.6","9.3 to 10.6","693,739","84,181","75,247","93,115","75,247 to 93,115","12.1","10.8","13.4","10.8 to 13.4","501,640","52,453","45,076","59,830","45,076 to 59,830","10.5","9.0","11.9","9.0 to 11.9","186,148","28,767","23,813","33,721","23,813 to 33,721","15.5","12.8","18.1","12.8 to 18.1","$42,104","$40,410","$43,798","$40,410 to $43,798"
"2001","20","20000","Kansas","2,641,329","252,134","236,429","267,838","236,429 to 267,838","9.5","9.0","10.1","9.0 to 10.1","689,535","87,487","76,517","98,458","76,517 to 98,458","12.7","11.1","14.3","11.1 to 14.3","498,342","53,755","44,150","63,360","44,150 to 63,360","10.8","8.9","12.7","8.9 to 12.7","182,759","28,399","24,281","32,517","24,281 to 32,517","15.5","13.3","17.8","13.3 to 17.8","$42,081","$40,645","$43,518","$40,645 to $43,518"
